№,Народен представител,Парламентарна група,Контакти,Позиция
6,"АЛЕКСАНДЪР ГОСПОДИНОВ КОЙЧЕВ 2-БУРГАС",Парламентарна група ВЪЗРАЖДАНЕ,Aleksandar.Koychev@parliament.bg,Член
8,"АЛЕКСАНДЪР КОЙЧЕВ ИВАНОВ 23-СОФИЯ",Парламентарна група на ГЕРБ – СДС,Aleksandar.Ivanov@parliament.bg,Член
17,"АСЕН ВАСКОВ ВАСИЛЕВ 29-ХАСКОВО","Парламентарна група ""Продължаваме Промяната – Демократична България""",Asen.Vasilev@parliament.bg,Член
18,"АТАНАС ВЛАДИМИРОВ АТАНАСОВ 24-СОФИЯ","Парламентарна група ""БСП – ОБЕДИНЕНА ЛЕВИЦА""",Atanas.V.Atanasov@parliament.bg,Зам.-председател
23,"БАЙРАМ ЮЗКАН БАЙРАМ 17-ПЛОВДИВ ОБЛАСТ","Парламентарна група ""Движение за права и свободи – Ново начало"" – ДПС – Ново начало",Bayram.Bayram@parliament.bg,Член
38,"ВЕНКО НИКОЛОВ САБРУТЕВ 23-СОФИЯ","Парламентарна група ""Продължаваме Промяната – Демократична България""",Venko.Sabrutev@parliament.bg,Член
62,"ДЕЛЯН АЛЕКСАНДРОВ ДОБРЕВ 29-ХАСКОВО",Парламентарна група на ГЕРБ – СДС,Delian.Dobrev@parliament.bg,Председател
66,"ДЕНИЦА ПЛАМЕНОВА НИКОЛОВА 3-ВАРНА",Парламентарна група на ГЕРБ – СДС,Denitsa.Nikolova@parliament.bg,Зам.-председател
68,"ДЕСИСЛАВА ЖЕКОВА ТАНЕВА 21-СЛИВЕН",Парламентарна група на ГЕРБ – СДС,Desislava.Taneva@parliament.bg,Член
81,"ДИМО ГЕОРГИЕВ ДРЕНЧЕВ 14-ПЕРНИК",Парламентарна група ВЪЗРАЖДАНЕ,Dimo.Drenchev@parliament.bg,Член
85,"ЕЛВАН БЕХЧЕТ ГЮРКАШ 9-КЪРДЖАЛИ","Парламентарна група ""Движение за права и свободи – Ново начало"" – ДПС – Ново начало",Elvan.Gyurkash@parliament.bg,Член
113,"ЙОРДАН КИРИЛОВ ЦОНЕВ 3-ВАРНА","Парламентарна група ""Движение за права и свободи – Ново начало"" – ДПС – Ново начало",Jordan.Tsonev@parliament.bg,Член
127,"КРАСЕН ГЕОРГИЕВ КРЪСТЕВ 6-ВРАЦА",Парламентарна група на ГЕРБ – СДС,Krasen.Krastev@parliament.bg,Член
131,"КРАСИМИР ЙОРДАНОВ ЙОРДАНОВ 31-ЯМБОЛ","Парламентарна група ""БСП – ОБЕДИНЕНА ЛЕВИЦА""",Krasimir.Yordanov@parliament.bg,Член
134,"КРАСИМИР ЦВЕТКОВ МАНОВ 13-ПАЗАРДЖИК",Парламентарна група на ПП МЕЧ,Krasimir.Manov@parliament.bg,Член
154,"МАРИЯ ДИМОВА ИЛИЕВА 16-ПЛОВДИВ ГРАД","Парламентарна група ""ВЕЛИЧИЕ""",Maria.D.Ilieva@parliament.bg,Член
156,"МАРТИН ДИМИТРОВ ДИМИТРОВ 24-СОФИЯ","Парламентарна група ""Продължаваме Промяната – Демократична България""",Martin.Dimitrov@parliament.bg,Член
159,"МЕХМЕД РЕДЖЕБ САЛИМ 18-РАЗГРАД","Парламентарна група ""Алианс за права и свободи""",Mehmed.Salim@parliament.bg,Зам.-председател
179,"ПАВЕЛА ВАСИЛЕВА МИТОВА 1-БЛАГОЕВГРАД","Парламентарна група ""Има Такъв Народ""",Pavela.Mitova@parliament.bg,Член
201,"СНЕЖАНКА РАЙЧОВА ТРАЯНСКА 23-СОФИЯ","Парламентарна група ""Има Такъв Народ""",Snezhanka.Trayanska@parliament.bg,Зам.-председател
202,"СТАНИСЛАВ ГЕОРГИЕВ ИВАНОВ 3-ВАРНА",Парламентарна група на ГЕРБ – СДС,Stanislav.Ivanov@parliament.bg,Член
234,"ЦОНЧО ТОМОВ ГАНЕВ 23-СОФИЯ",Парламентарна група ВЪЗРАЖДАНЕ,Tsoncho.Ganev@parliament.bg,Член
